Station,latitude,longitude,habitat_type,trail,river_dist,ocean_dist,road_dist,trail_dist,altitude,canopy_cover,canopy_height,Y,X
TCT01,"N08°24'36.1""","W083°19'49.5""",primary,on,406,1769,991,0,77,22.53,19.242,8.410027778,-83.33041667
TCT02,"N08°24'20.7""","W083°19'41.1""",primary,on,610,1402,823,0,38,32.53,22.273,8.40575,-83.32808333
TCT03,"N08°25'14.7""","W083°19'36.6""",plantation,on,124,3021,1297,0,298,11.95,10.521,8.42075,-83.32683333
TCT04,"N08°24'34.2""","W083°20'08.2""",primary,on,211,1533,511,0,61,40.18,12.84,8.4095,-83.33561111
TCT05,"N08°24'37.4""","W083°20'24.5""",secondary,on,217,1469,20,0,38,4.78,17.347,8.410388889,-83.34013889
TCT06,"N08°24'48.4""","W083°20'40.9""",secondary,on,818,1629,187,0,10,29.11,28.245,8.413444444,-83.34469444
TCT07,"N08°24'19.7""","W083°21'01.2""",agricultural matrix,on,1230,595,184,0,6,24.64,13.121,8.405472222,-83.35033333
TCT08,"N08°25'05.3""","W083°20'36.9""",primary,on,857,2160,17,0,86,16.67,12.831,8.418138889,-83.34358333
TCT09,"N08°24'09.6""","W083°20'29.7""",secondary,on,390,608,159,0,7,7.89,10.792,8.402666667,-83.34158333
CT01,"N08°24'20.0""","W083°21'29.5""",agricultural_matrix,off,1953,329,989,140,10,15.28,7.845,NA,NA
CT02,"N08°24'12.2""","W083°21'13.9""",agricultural_matrix,off,1631,252,582,104,12,70.25,10.435,8.403388889,-83.35386111
CT03,"N08°24'00.2""","W083°20'43.3""",agricultural_matrix,off,644,201,96,160,1,22.9,5.697,8.400055556,-83.34536111
CT04,"N08°24'06.4""","W083°20'59.0""",agricultural_matrix,off,1148,230,133,165,6,6.44,9.953,8.401777778,-83.34972222
CT05,"N08°23'53.8""","W083°20'28.3""",secondary,off,201,160,342,343,10,22.45,9.836,NA,NA
CT06,"N08°23'47.8""","W083°20'13.1""",secondary,off,219,135,499,116,14,38.71,7.239,8.396611111,-83.33697222
CT07,"N08°24'33.4""","W083°21'22.5""",agricultural_matrix,off,1589,787,767,46,13,15.62,9.746,8.409277778,-83.35625
CT08,"N08°24'27.0""","W083°21'06.1""",agricultural_matrix,off,1378,760,256,194,19,20.41,7.065,8.4075,-83.35169444
CT09,"N08°24'21.1""","W083°20'52.7""",agricultural_matrix,off,970,718,38,85,2,12.78,11.038,8.405861111,-83.34797222
CT10,"N08°24'15.4""","W083°20'37.4""",agricultural_matrix,off,546,702,353,247,17,13.57,6.62,8.404277778,-83.34372222
CT11,"N08°24'09.6""","W083°20'22.3""",secondary,off,175,680,58,134,32,18.81,12.56,NA,NA
CT12,"N08°24'03.9""","W083°20'06.1""",secondary,off,116,671,28,184,29,36.6,14.285,8.401083333,-83.33502778
CT13,"N08°24'48.7""","W083°21'18.2""",agricultural_matrix,off,1199,1274,291,14,12,32.96,9.125,8.413527778,-83.35505556
CT14,"N08°24'42.7""","W083°21'01.7""",agricultural_matrix,off,1319,1260,176,385,12,10.81,5.973,8.411861111,-83.35047222
CT15,"N08°24'36.4""","W083°20'46.5""",secondary,off,817,1224,213,228,7,39.6,10.346,8.410111111,-83.34625
CT16,"N08°24'30.1""","W083°20'31.4""",secondary,off,320,1187,136,289,17,20.13,6.029,8.408361111,-83.34205556
CT17,"N08°24'23.9""","W083°20'16.0""",secondary ,off,150,1157,277,111,29,53.33,12.154,8.406638889,-83.33777778
CT18,"N08°24'18.2""","W083°20'01.0""",primary,off,306,1769,400,8,39,58.42,24.244,8.405055556,-83.33361111
CT19,"N08°24'16.7""","W083°19'50.1""",primary,off,371,1201,607,88,44,63.1,17.687,8.404638889,-83.33058333
CT20,"N08°25'03.3""",W083°21.11.1,secondary,off,951,1769,174,105,23,41.67,15.626,8.417583333,-83.35308333
CT21,"N08°24'57.6""","W083°20'56.6""",secondary,off,1356,1744,232,7,33,68.54,20.126,8.416,-83.34905556
CT22,"N08°24'51.1""","W083°20'40.7""",secondary ,off,865,1709,265,72,11,49.25,26.285,8.414194444,-83.34463889
CT23,"N08°24'45.1""","W083°20'24.9""",secondary,off,388,1689,46,127,36,44.07,12.35,8.412527778,-83.34025
