Name,Station,Code
2017-05-02 12.35.12_00001.AVI,CT01,Coati
2017-05-17 16.25.26_00002.AVI,CT01,Coati
2017-05-17 16.27.32_00003.AVI,CT01,Coati
2017-05-17 16.28.18_00004.AVI,CT01,Coati
2017-05-31 18.56.26_00005.AVI,CT01,coati
2017-05-19 09.19.34_00006.AVI,CT01,curassow_great
2017-05-01 15.11.46_00007.AVI,CT01,nothing
2017-05-01 15.14.04_00008.AVI,CT01,nothing
2017-05-01 15.21.58_00009.AVI,CT01,nothing
2017-05-01 15.24.20_00010.AVI,CT01,nothing
2017-05-04 11.07.52_00011.AVI,CT01,nothing
2017-05-07 08.40.46_00012.AVI,CT01,nothing
2017-05-09 05.18.08_00013.AVI,CT01,nothing
2017-05-17 13.12.40_00014.AVI,CT01,nothing
2017-05-18 06.51.32_00015.AVI,CT01,nothing
2017-05-19 11.29.40_00016.AVI,CT01,nothing
2017-05-22 15.34.26_00017.AVI,CT01,nothing
2017-05-24 11.38.26_00018.AVI,CT01,nothing
2017-05-25 06.49.26_00019.AVI,CT01,nothing
2017-05-25 19.06.32_00020.AVI,CT01,nothing
2017-05-25 23.32.02_00021.AVI,CT01,nothing
2017-05-25 23.33.10_00022.AVI,CT01,nothing
2017-05-28 13.22.20_00023.AVI,CT01,nothing
2017-06-02 10.10.22_00024.AVI,CT01,nothing
2017-06-03 07.22.38_00025.AVI,CT01,nothing
2017-06-03 09.30.40_00026.AVI,CT01,nothing
2017-05-01 15.15.28_00027.AVI,CT01,people
2017-05-22 15.16.36_00030.AVI,CT01,people
2017-05-22 15.19.12_00031.AVI,CT01,people
2017-05-22 15.19.56_00032.AVI,CT01,people
2017-05-22 15.21.18_00033.AVI,CT01,people
2017-05-22 15.22.02_00034.AVI,CT01,people
2017-05-22 15.32.16_00028.AVI,CT01,people
2017-05-22 15.35.20_00029.AVI,CT01,people
2017-06-03 09.29.10_00035.AVI,CT01,people
2017-06-03 09.31.24_00036.AVI,CT01,people
2017-05-10 13.43.58_00037.AVI,CT01,raccoon
2017-05-12 21.36.12_00038.AVI,CT01,raccoon
2017-05-21 21.30.42_00039.AVI,CT01,raccoon
2017-05-23 01.45.16_00040.AVI,CT01,raccoon
2017-05-23 01.46.14_00041.AVI,CT01,raccoon
2017-05-09 05.53.18_00042.AVI,CT01,woodrail_greynecked
2017-05-17 13.13.26_00043.AVI,CT01,woodrail_greynecked
2017-05-17 16.23.16_00044.AVI,CT01,woodrail_greynecked
2017-05-19 05.57.16_00045.AVI,CT01,woodrail_greynecked
2017-05-19 09.43.46_00046.AVI,CT01,woodrail_greynecked
2017-07-02 12.55.24_00047.AVI,CT02,agouti
2017-08-11 09.07.34_00048.AVI,CT02,Agouti
2017-08-13 09.25.20_00049.AVI,CT02,agouti
2017-08-13 13.01.38_00050.AVI,CT02,agouti
2017-08-14 08.57.04_00051.AVI,CT02,agouti
2017-07-09 06.36.18_00052.AVI,CT02,bird_small_uid
2017-06-23 13.28.04_00053.AVI,CT02,capuchin_whitefaced
2017-07-16 08.06.12_00054.AVI,CT02,capuchin_whitefaced
2017-07-16 08.07.06_00055.AVI,CT02,capuchin_whitefaced
2017-07-16 08.07.50_00056.AVI,CT02,capuchin_whitefaced
2017-07-16 08.10.06_00057.AVI,CT02,capuchin_whitefaced
2017-05-05 16.27.42_00058.AVI,CT02,coati
2017-05-05 16.28.30_00059.AVI,CT02,coati
2017-06-23 16.45.24_00060.AVI,CT02,coati
2017-06-23 16.46.26_00061.AVI,CT02,coati
2017-06-23 16.47.10_00062.AVI,CT02,coati
2017-07-07 10.55.36_00063.AVI,CT02,coati
2017-07-08 16.26.30_00064.AVI,CT02,coati
2017-07-08 16.27.14_00065.AVI,CT02,coati
2017-07-09 06.12.06_00066.AVI,CT02,coati
2017-07-11 15.29.44_00067.AVI,CT02,coati
2017-07-15 13.51.40_00068.AVI,CT02,coati
2017-07-15 15.38.06_00069.AVI,CT02,coati
2017-07-16 06.38.26_00070.AVI,CT02,coati
2017-07-16 06.42.44_00071.AVI,CT02,coati
2017-07-16 08.05.28_00072.AVI,CT02,coati
2017-07-16 08.11.56_00073.AVI,CT02,coati
2017-07-16 08.16.58_00074.AVI,CT02,coati
2017-07-16 08.19.24_00075.AVI,CT02,coati
2017-07-22 14.33.50_00076.AVI,CT02,coati
2017-08-07 07.25.36_00077.AVI,CT02,coati
2017-08-08 07.51.46_00078.AVI,CT02,coati
2017-08-15 06.33.06_00079.AVI,CT02,coati
2017-08-15 06.38.26_00080.AVI,CT02,coati
2017-06-14 13.46.28_00081.AVI,CT02,heron_barethroatedtiger
2017-05-01 16.03.40_00082.AVI,CT02,nothing
2017-05-01 16.04.30_00083.AVI,CT02,nothing
2017-05-04 03.20.48_00084.AVI,CT02,nothing
2017-05-08 04.10.20_00085.AVI,CT02,nothing
2017-05-09 08.37.00_00086.AVI,CT02,nothing
