Station,date_set,date_collected,Status
TCT01,13/05/2017,14/08/2017,working
TCT02,26/05/2017,14/08/2017,working
TCT03,18/05/2017,18/08/2017,working
TCT04,18/05/2017,16/08/2017,working
TCT05,18/05/2017,17/08/2017,working
TCT06,2/6/2017,17/08/2017,working
TCT07,4/6/2017,18/08/2017,working
TCT08,4/6/2017,17/08/2017,working
TCT09,5/6/2017,20/08/2017,working
CT01,1/5/2017,3/6/2017,camera broken
CT02,1/5/2017,17/08/2017,working
CT03,1/5/2017,19/08/2017,working
CT04,1/5/2017,19/08/2017,working
CT05,29/04/2017,17/08/2017,SD not working
CT06,29/04/2017,23/07/2017,working
CT07,1/5/2017,17/08/2017,working
CT08,3/5/2017,17/08/2017,working
CT09,5/5/2017,19/08/2017,working
CT10,5/5/2017,19/08/2017,working
CT11,29/04/2017,17/08/2017,SD not working
CT12,29/04/2017,16/08/2017,working
CT13,1/5/2017,17/08/2017,working
CT14,3/5/2017,19/08/2017,working
CT15,3/5/2017,16/08/2017,working
CT16,2/6/2017,16/08/2017,working
CT17,30/04/2017,18/08/2017,working
CT18,29/04/2017,16/08/2017,working
CT19,29/04/2017,16/08/2017,working
CT20,1/5/2017,15/08/2017,working
CT21,3/5/2017,19/08/2017,working
CT22,30/04/2017,17/08/2017,working
CT23,30/04/2017,17/08/2017,working
CT24,2/5/2017,19/08/2017,working
CT25,29/04/2017,16/08/2017,working
CT26,29/04/2017,15/08/2017,working
CT27,29/04/2017,15/08/2017,camera setup error
CT28,3/5/2017,19/08/2017,working
CT29,1/5/2017,16/08/2017,working
CT31,4/5/2017,16/08/2017,working
CT32,17/05/2017,16/08/2017,working
CT33,2/5/2017,18/08/2017,working
CT34,30/04/2017,18/08/2017,working
CT35,30/04/2017,17/08/2017,working
CT36,5/5/2017,26/07/2017,working
CT38,17/05/2017,19/08/2017,working
CT39,17/05/2017,19/08/2017,working
CT40,1/5/2017,17/08/2017,working
CT42,4/5/2017,16/08/2017,working
CT43,17/05/2017,16/08/2017,working
CT44,2/5/2017,18/08/2017,working
CT46,30/04/2017,14/08/2017,working
CT47,5/5/2017,15/08/2017,working
CT50,16/05/2017,9/7/2017,working
CT52,6/5/2017,18/08/2017,working
CT53,6/5/2017,18/08/2017,working
CT55,4/5/2017,18/08/2017,working
CT59,4/5/2017,18/08/2017,working
CT60,4/5/2017,18/08/2017,working
CT61,4/5/2017,18/08/2017,working
CT62,4/5/2017,18/08/2017,working
