Name,YEAR,MCP.95,KDE.95,KDE.50,Centroid.X,Centroid.Y,DIST,NDVI,ACT,HFI,RAIN.SEA,RAIN.TOT,TEMP.SEA,Sex,Region
Lisa,1,294.0245461,239.3167365,38.33861501,550705.6877,9961844.742,2746.836188,0.726426024,0.612447699,9.23297491,72.4206942,2315.179856,116.1965578,Female,Wonga Wongue
Lisa,2,304.4685441,255.0889581,46.74036699,551143.4587,9962198.959,2591.729172,0.718011221,0.535853977,9.226666667,72.41483348,2316.08,116.0643024,Female,Wonga Wongue
Rosa,1,211.7416169,184.353118,43.51219536,563658.9149,9940390.014,2116.391414,0.769082057,0.452552927,11.33333333,73.20416493,2247.62963,114.6164828,Female,Wonga Wongue
Rosa,2,212.4547093,169.8188659,40.29173318,563883.4295,9940089.486,1997.944218,0.790048527,0.448984615,11.1319797,73.21812268,2248.280612,114.4559055,Female,Wonga Wongue
Kengue,1,550.473092,478.9330059,80.92029397,567371.5759,9945498.761,3140.428839,0.773799357,0.652638271,9.874776386,73.29291549,2254.669039,115.7052568,Male,Wonga Wongue
Kengue,2,480.10722,560.8143095,96.52685307,568380.6613,9950158.009,2846.375422,0.776168547,0.653760042,9.312024353,73.25356688,2266.770865,115.0165698,Male,Wonga Wongue
Mambo,1,429.2461499,279.689226,35.11691734,555589.0854,9953314.389,2741.993706,0.761188701,0.623141724,10.15197568,72.80901609,2282.554545,114.4793775,Male,Wonga Wongue
Mambo,2,548.3317007,354.2004885,47.17751342,556765.4889,9951803.611,2113.208146,0.778342051,0.410438465,9.649164678,72.740267,2288.358537,114.212226,Male,Wonga Wongue
David,1,1435.584218,1291.673531,186.418254,538109.1046,9917563.375,2953.734198,0.795459763,0.488292186,17.25647841,73.76943262,2128.610484,125.4497659,Male,Wonga Wongue
Mboumba,1,1544.117828,1454.337303,136.0623829,541982.1231,9928132.438,2564.201941,0.76142364,0.435631773,18.328125,73.5240234,2162.772343,121.9039654,Male,Wonga Wongue
Mba,1,222.782429,152.6063595,31.10101753,562279.8264,9955967.642,3289.12642,0.762715812,0.747049118,7,72.85614956,2301.189944,111.3288857,Male,Wonga Wongue
Mba,2,204.5725189,164.4612133,35.02244899,563418.3321,9954952.065,3273.968105,0.763614231,0.746524202,7,72.87573684,2299.646154,111.4542622,Male,Wonga Wongue
Nana,1,180.8433832,168.5392881,38.81937865,556379.3937,9952649.614,3295.052924,0.784446442,0.737098345,7.603960396,72.74111164,2298.331633,111.8650497,Female,Wonga Wongue
Nana,2,117.8899934,113.4859859,28.89491132,555704.8759,9953290.779,3294.820364,0.795160084,0.750684932,7.335820896,72.68128232,2305.350365,111.9472931,Female,Wonga Wongue
Ndeka,1,129.8704153,126.6253998,15.24613867,564239.5481,9944448.117,2261.70632,0.79793634,0.525602227,9.100671141,73.18828354,2258.612245,112.6543122,Female,Wonga Wongue
Ndeka,2,117.8464958,84.77406511,12.66381892,563629.1736,9944922.264,2328.884632,0.806021072,0.576127125,8.959183673,73.16859388,2261.09375,112.2452095,Female,Wonga Wongue
